0 time
1 TOP.clk
2 TOP.rst
3 TOP.en
4 TOP.count[7:0]

0 1 2 3  4 
==========
0 1 1 0  0
1 0 1 0  0
2 1 1 0  0
3 0 1 0  0
4 1 0 1  1
5 0 0 1  1
6 1 0 1  2
7 0 0 1  2
8 1 0 1  3
9 0 0 1  3
10 1 0 1  4
11 0 0 1  4
12 1 0 1  5
13 0 0 1  5
14 1 0 1  6
15 0 0 1  6
16 1 0 1  7
17 0 0 1  7
18 1 0 1  8
19 0 0 1  8
20 1 0 1  9
21 0 0 1  9
22 1 0 1  a
23 0 0 1  a
24 1 0 1  b
25 0 0 1  b
26 1 0 1  c
27 0 0 1  c
28 1 0 1  d
29 0 0 1  d
30 1 0 1  e
31 0 0 1  e
32 1 0 1  f
33 0 0 1  f
34 1 0 1 10
35 0 0 1 10
36 1 0 0 10
37 0 0 0 10
38 1 0 0 10
39 0 0 0 10
40 1 0 0 10
41 0 0 0 10
42 1 0 0 10
43 0 0 0 10
